,Correct,OptionA,OptionB,OptionC,OptionD,Questions
0,- A, YKPF, VHMC, XJOE, DNIW, यदि  GOLD को IQNF लिखा जाता है तो WIND को क्या लिखा जायेगा? 
1,- B,73,37,36,38,"  यदि A = 1, PAT = 37, तो TAP = ? "
2,-C, 8, 17, 35, 37," यदि D = 4 , BAD = 7, तो ANT का मान बताओ "
3,-B, STAR, STAB, STAL, STAK," यदि HKUJ का मतलब FISH है, तो UVCD का मान बताओ "
4,-B,NEKJ, NEJK,JENK, ENJK, यदि CONSCIOUSLY को PEBNPJEXNKM लिखा जाता है तो SOIL को क्या लिखा जायेगा? 
5,-B,35,36,30,33, यदि C = 3 तथा FEAR को 30 लिखा जाता है तो HAIR को क्या लिखा जायेगा? 
6,-C,50,53,5,56," यदि  Z = 26 , NET = 39 , तब NUT = ? "
7,-B,21,22,25,28," यदि  F = 6, MAT = 34, तब CAR = ? "
8,-C, SEPTEMBER, AUGUST, NOVEMBER, OCTOBER, यदि DECEMBER को ERMBCEDE लिखा जाता है तो ERMBVENO को क्या लिखा जायेगा? 
9,-A,3574218,3571842,3521478,3574812, यदि KASHMIR को 8142753 लिखा जाता है तो RIMSHAK को क्या लिखा जायेगा? 
10,-C, EJXEBEYQCL, JFQYWBCXQL, JFXWBWYQCL, QCLYWBFXJE, यदि किसी भाषा में “ORGANISATION” को “CBDWLQJWYQCL” तथा “OPERATION” को “OXFBWYQCL” लिखा जाता है तो“SEPARATION” को क्या लिखा जायेगा? 
11,-C, SQMPZ, SQPZM, SQPMZ, SPQZM, यदि ‘EARTH’ को ‘QPMZS’ लिखा जाता है तो ‘HEART’को क्या लिखा जायेगा? 
12,-C, XMKONM, MXOKMN, XMKOMN, YKMONM, यदि DEAR को OMKN तथा LEAK को XMKY लिखा जाता है तो LEADER को क्या लिखा जायेगा? 
13,-A, 12423412, 12345123, 12345678, 12425341, यदि MATHEMATICS = 12345123678. तब MAHATHMA = ? 
14,-C  , @@©, @©©©, @@©©@, @@@,  यदि @@© को @@@@@ से घटाया जाए   तो इसका मान क्या होगा? 
15,-D, ©©©@, ©©©@, @@@©, @©@©,  इनमे से 10 का कोड क्या होगा? 
16,-A, @©@©©, ©©©@@, @@@©©, @©@@@, इनमे से कौन सा कोड 80 का 25 प्रतिशत होगा? 
17,-C, ©©@@, @©@@, @@©©, @©@©,  यदि @@© को  @© से गुणा करें तो इसका मान क्या होगा? 
18,-D, 42, 44, 48, 46,  इनमे से कौन सा नंबर इस प्रारूप में @©@@@© लिखा जायेगा? 
19,: A, IABPF, MCBNB, OGHVL, FPBAI," एक विशिष्ट कोड भाषा में, ""NIGHT"" को ""ODDGM"" लिखा जाता है तथा ""DARK"" को ""GOYC"" लिखा जाता है। इस कोड भाषा में ""GREEN"" को किस प्रकार लिखा जाएगा? "
20,: B, KSXRBHH, KSBHRXH, XHRHBSK, KSBHXRH,"  एक विशिष्ट कोड भाषा में, ""BIOLOGY"" को ""YRLOLTB"" लिखा जाता है। इस कोड भाषा में ""PHYSICS"" को किस प्रकार लिखा जाएगा?  "
21,: A, 64, 61, 58, 43,"  एक विशिष्ट कोड भाषा में, ""TIRED"" को ""56"" तथा ""BRAIN"" को ""44"" लिखा जाता है। इस कोड भाषा में ""LAZY"" को किस प्रकार लिखा जाएगा?  "
22,: D, QFLNTT, QDLLTR, SFNNVT, SDNLVR,"  एक विशिष्ट कोड भाषा में, ""RAIN"" को ""OHBQ"" लिखा जाता है। इस कोड भाषा में ""SUMMER"" को किस प्रकार लिखा जाएगा?  "
23,:D, YJLPQ, ZIMOR, ROMIZ, QPLJY,"  एक विशिष्ट कोड भाषा में, ""MATCH"" को ""NYWYM"" लिखा जाता है तथा ""BOARD"" को ""CMDNI"" लिखा जाता है। इस कोड भाषा में ""PRINT"" को किस प्रकार लिखा जाएगा?  "
24,: B, 8, 3, 9, 7,"  एक विशिष्ट कोड भाषा में, ""PEN-TAN"" को ""0"" लिखा जाता है। इस कोड भाषा में ""DEN-COB"" को किस प्रकार लिखा जाएगा?  "
