,correct,QuestionLink,category,Direction,optA,optB,optC,optD,sectionType,usedFor,lang,source
1,d,https://image.ibb.co/ikPQNH/tscan94_000.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
2,d,https://image.ibb.co/ko5X2H/tscan94_00001.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
3,b,https://image.ibb.co/mNEgwc/tscan94_0001.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
5,a,https://image.ibb.co/kigTbc/tscan94_001.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
6,b,https://image.ibb.co/j0Lobc/tscan94_01.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
7,d,https://image.ibb.co/kVkX2H/tscan94_02.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
8,b,https://image.ibb.co/jr4EGc/tscan94_03.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
9,c,https://image.ibb.co/jHJKhH/tscan94_04.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
10,c,https://image.ibb.co/fwVApx/tscan94_05.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
11,b,https://image.ibb.co/fbW5NH/tscan94_06.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
12,d,https://image.ibb.co/jDfX2H/tscan94_07.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
13,b,https://image.ibb.co/hpE39x/tscan94_08.png,7.1,"Find the odd one out/विषम चुने
",A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
