Question,optionA,optionB,optionC,optionD,correct,category
"यदि एक वर्ष में 25 अगस्‍त को गुरूवार था, तो इस माह में सोमवारों की गणना कीजिए।",3,4,5,6,c,22.1
यदि आज बुधवार है तो 94 दिन बाद कौनसा दिन होगा ?,सोमवार,रविवार, बुधवार,मंगलवार,b,22.1
"यदि 1 फरवरी, 2004 को बुधवार था, तो 3 मार्च 2004 को कौनसा दिन होगा ?",शुक्रवार,शनिवार, बुधवार,रविवार,b,22.1
1990 वाले पंचांग के जैसा ही (बिल्‍कुल उसी तरह का) पंचाग आगे कौनसे वर्ष का होगा ?,1992,1995,1996,1998,c,22.1
"अगस्‍त, 1980 की किन – किन तारीखों को सोमवार होगा ?","4, 11, 18 और 25","3, 10, 17 और 24","6, 13, 20 और 27","9, 16, 23 और 30",a,22.1
निम्‍न में से कौनसा एक अधिवर्ष है ?,1927,1784,1777,1823,b,22.1
यदि 30 दिन वाले महीने के प्रत्‍येक दूसरे शनिवार एवं प्रत्‍येक रविवार का अवकाश रहता है। (महीना शनिवार से शुरु होता है) तो इस सम्‍पूर्ण महीने में कुल कार्य – दिवसों की संख्‍या कितनी होगी ?,18,15,23,25,c,22.1
यदि आज गुरुवार है तो 59 दिन के बाद कौनसा वार होगा ?,सोमवार,रविवार,मंगलवार, बुधवार,a,22.1
एक अधिवर्ष में शेष दिनों की संख्‍या कितनी होती है ?,3,1,2,4,c,22.1
"यदि बीते कल के पहले वाले दिन गुरूवार है, तो रविवार कब आएगा ?",आज,आने वाले कल,आने वाले कल के दूसरे दिन,आज से दो दिन बाद,b,22.1
सुगन्‍या 9 दिन पहले फिल्‍म देखने गयी। वह केवल बृहस्‍पतिवार को ही फिल्‍म देखने जाती है। आज सप्‍ताह का कौनसा दिन है ?, बुधवार, बृहस्‍पतिवार,मंगलवार,शनिवार,d,22.1
"यदि एक सामान्‍य वर्ष का पहला दिन शुक्रवार है, तो इस वर्ष का अन्तिम दिन कौनसा होगा ?",शुक्रवार, गुरूवार,बुधवार,रविवार,a,22.1
शताब्‍दी का अन्तिम दिन नहीं हो सकता —,बुधवार,सोमवार, मंगलवार, शुक्रवार,d,22.1
"1 जनवरी, 2006 को रविवार है, तो 1 जनवरी 2010 को क्‍या होगा ?",शुक्रवार, सोमवार,रविवार,मंगलवार,a,22.1
"अगर आने वाले कल के बाद शनिवार है, तो गत कल से तीन दिन पहले कौनसा वार था ?", सोमवार,मंगलवार,रविवार,शुक्रवार,c,22.1
"X का जन्‍म 6 मार्च, 1993 को हुआ। इसी साल में स्‍वतंत्रता दिवस शुक्रवार को मनाया गया। X का जन्‍म किस दिन हुआ ?", सोमवार,शुक्रवार, गुरूवार,बुधवार,c,22.1
"यदि पहले अक्‍टूबर को रविवार है, तो 1 नवम्‍बर को क्‍या होगा ?",रविवार,शुक्रवार,बुधवार, सोमवार,c,22.1
1 जनवरी 1901 को कौनसा दिन था ?, सोमवार,बुधवार,मंगलवार,रविवार,c,22.1
"यदि 3 दिसम्‍बर 1990 को रविवार था, तो 3 जनवरी 1991 को क्‍या था ?",रविवार, सोमवार,मंगलवार,बुधवार,d,22.1
"यदि बीते दिन से पहले वाले दिन शनिवार था, तो आने वाले कल के बाद कौनसा दिन होगा ?",गुरुवार,शुक्रवार,मंगलवार,बुधवार,d,22.1
"यदि एक महीने का 7वां दिन शुक्रवार से तीन दिन पहले वाला है, तो इस महीने के 19वें दिन कौनसा वार होगा ?",रविवार,बुधवार,मंगलवार, सोमवार,a,22.1
शनिवार को गणतंत्र दिवस का अवकाश है। अगले महीने 14 तारीख को पुन: एक अवकाश (शिवरात्री अवकाश) हैं। 14वें दिन कौनसा वार हैं।,मंगलवार, सोमवार,रविवार,गुरूवार,d,22.1
"यदि 1.12.91 को पहला रविवार है, तो उसी वर्ष के दिसम्‍बर में चौथा मंगलवार कब होगा ?",17.12.91,26.12.91,31.12.91,24.12.91,d,22.1
"आज गुरूवार है, तो 59 दिन बाद कौनसा दिन होगा ?", रविवार,मंगलवार, सोमवार,बुधवार,c,22.1
"यदि 1 फरवरी 1996 को बुधवार है, तो 3 मार्च 1996 को कौनसा वार होगा ?",शनिवार,मंगलवार, सोमवार,बुधवार,a,22.1
"26 जनवरी, 1996 से 15 मई, 1996 के तक कुल कितने दिन थे ? (दोनों दिन शामिल करनें हैं)",110,111,112,113,b,22.1
"यदि 3 दिसम्‍बर 1990 को रविवार हो, तो 3 जनवरी 1991 को कौनसा दिन होगा ?",बुधवार,मंगलवार, सोमवार,रविवार,a,22.1
"यदि 18 फरवरी 1997 को मंगलवार है, तो 18 फरवरी 1999 को कौन-सा दिन होगा ?", सोमवार,मंगलवार,गुरूवार,बुधवार,c,22.1
"आज सोमवार है, 61 दिन बाद कौनसा दिन होगा ?",मंगलवार,शनिवार,बुधवार,रविवार,d,22.1
"यदि एक महीने के दूसरे दिन शुक्रवार है, तो अगले महीने का अन्तिम दिन कौनसा होगा ? (अगला महीना 31 दिन वाला है।)",सोमवार,रविवार,बुधवार,आंकड़े अपर्याप्‍त,d,22.1
