,Answer,Image,OptionA,OptionB,OptionC,OptionD,Questions,Category
0, d,http://cdn.careerride.com/images/Aptitude/DICE-1.png, D, E, B or D, F, Which symbol will be on the face opposite to the face with symbol ‘C’ ? कौन सा प्रतीक चेहरे के विपरीत चेहरे 'सी' के साथ होगा? ,3.4
1, b,http://cdn.careerride.com/images/Aptitude/DICE-2.png,2,4,1,6, Two positions of dice are shown below. What number will appear on the opposite to the face containing ‘5’? '5' युक्त चेहरे के विपरीत क्या नंबर दिखाई देगा? ,3.4
2, c,http://cdn.careerride.com/images/Aptitude/DICE-3.png, a, g,, c, Which digit will appear on the face opposite to the face with alphabet ‘d’ ? कौन सा अंक चेहरे के विपरीत चेहरे पर वर्णमाला 'डी' के साथ दिखाई देगा? ,3.4
3, d,http://cdn.careerride.com/images/Aptitude/DICE-4.png,5,6,3,4," From the positions of a cube are shown below, Which letter will be on the face opposite to face with '1'? '1' वाले चेहरे के सामने चेहरे पर कौन सी पत्र होगा? ",3.4
4, c,http://cdn.careerride.com/images/Aptitude/DICE-5.png, @, !, ^, ?, Here 4 positions of a cube are shown. Which sign will be opposite to '*' ? यहाँ एक क्यूब के 4 पदों को दिखाया गया है। कौन सा संकेत '*' के विपरीत होगा? ,3.4
5, a,http://cdn.careerride.com/images/Aptitude/DICE-6.png, C, A, D, None of these,"Two positions of a cubical block are shown. When ‘E’ is at the top which alphabet will be at bottom? एक क्यूबिक ब्लॉक के दो पदों को दिखाया गया है। जब 'ई' शीर्ष पर है, तो नीचे क्या होगा? ",3.4
6, c,http://cdn.careerride.com/images/Aptitude/DICE-7.png, O, B, V, Ro,"From the four positions of a dice given below, find the symbol which is opposite to Y?  'Y' वाई के विपरीत क्या है? ",3.4
7, d,http://cdn.careerride.com/images/Aptitude/DICE-8.png,54,55,50, None of these, Which number is on the face opposite to 56? क्या संख्या '56' के विपरीत है? ,3.4
8, d,http://cdn.careerride.com/images/Aptitude/DICE-9.png, B, C, E , None of these ," Two positions of a cube are shown below. When the surface ‘D’touch the bottom, what surface will be on the top? ",3.4
9, b,http://cdn.careerride.com/images/Aptitude/DICE-10.png, D, A, B, F," Two positions of a cube with its surfaces are shown below. When the surface ‘D’ touch the bottom, what surface will be on top? जब सतह 'डी' नीचे छू लेती है, तो ऊपर की सतह क्या होगी? ",3.4
10, c,http://cdn.careerride.com/images/Aptitude/DICE-11.png, AB, CD, EF, None of these, Below four positions of a Dice is shown. Which alphabets will be opposite to ‘KL’ ?  कौन सा वर्ण 'KL' के विपरीत होंगे? ,3.4
11, d,http://cdn.careerride.com/images/Aptitude/DICE-12.png, V, III, II, IV," From the positions of a cube are shown below, which symbol will be on the face opposite to face with ‘I’? 'I' के विपरीत क्या है ",3.4
12, a,http://cdn.careerride.com/images/Aptitude/DICE-13.png, 3 dots, 2 dots, 1 dots, 5 dots," How many dot/dots will appear on the face opposite to the face with “Four Dots”?  ""चार बिंदु"" के साथ चेहरे के सामने चेहरे पर कितने डॉट / डॉट्स दिखाई देंगे? ",3.4
13, a,http://cdn.careerride.com/images/Aptitude/DICE-14.png, E, F, D, B," Here are two positions of dice are shown . If there is ‘B ’ in the bottom, then which alphabet will be on the top ? अगर नीचे 'बी' है, तो शीर्ष पर क्या होगा? ",3.4
14, a,http://cdn.careerride.com/images/Aptitude/DICE-15.png,1,2,3,4,"If there are five dots at the bottom, then how many dots will be on its upper surface ? यदि नीचे पांच बिंदु हैं, तो उसके ऊपरी सतह पर कितने बिंदु होंगे? ",3.4
