,Answer,OptionA,OptionB,OptionC,OptionD,Questions,Category
0, c , 3 तथा 4, 4 तथा 8, 5 तथा 3, 5 तथा 9, निम्नलिखित प्रश्न में किन्ही दो संख्याओं को परस्पर बदलकर दिये गए समीकरण को सही कीजिए। 8 x 3 ÷ 4 + 9 – 5 = 16 ,15.1
1, a,12,14,16,20," यदि (2)# * 4 = 2 तथा (4)# * 4 = 16 हैं, तो (6)# * A = 18 में, A का मान क्या है? ",15.1
2, c,4,16,12,10,"यदि ""+"" का अर्थ ""भाग"" है, ""x"" का अर्थ ""जोड़"" है, ""÷"" का अर्थ ""घटाव"" है तथा ""–"" का अर्थ ""गुणा"" है, तो 54 + 162 – 18 x 12 ÷ 6 = ? ",15.1
3, b,218,262,253,259," यदि (3)2 @ 1 * 7 = 98 तथा (4)2 @ 2 * 16 = 178 हो, तो (5)2 @ 3 * 9 = ? ",15.1
4, d , 16 + 19 x 21 – 5 = 201, 5 x 6 + 4 ÷ 3 = 37/6, 6 x 3 + 12 ÷ 3 = 21, 18  x  6 ÷ 8 – 12 = 36," यदि ""÷"" का अर्थ ""गुणा"" है, ""+"" का अर्थ ""घटाव"" है, ""–"" का अर्थ ""जोड़"" है तथा ""x"" का अर्थ ""भाग"" है, तो निम्नलिखित में से कौन सा समीकरण सही है? ",15.1
5, a,67,56,43,28," यदि 5 # 9 @ 7 = 52 तथा 3 @ 9 # 2 = – 89 हो, तो 7 # 6 @ 9 = ? ",15.1
6, d,295629134,3192295614,3912659214,3920926514," एक विशिष्ट कोड भाषा में, ""CASIO"" को ""3119915"" लिखा जाता है। इस कोड भाषा में ""CITIZEN"" को किस प्रकार लिखा जाएगा? ",15.1
7, a, x तथा ÷, + तथा ÷, + तथा –,  – तथा ÷, निम्नलिखित प्रश्न में किन्ही दो प्रतीक चिन्हों को परस्पर बदलकर दिये गए समीकरण को सही कीजिए। 6 ÷ 17 x 51 + 6 – 12 = – 4 ,15.1
8, b , 18 R 60 Q 15 S 2 = 8, 15 S 16 Q 2 P 4 = 47, 3 P 5 R 18 Q 3 = 6, 15 S 28 Q 4 P 2 = 27," यदि ""P"" का अर्थ ""गुणा"" है, ""R"" का अर्थ ""घटाव"" है, ""S"" का अर्थ ""जोड़"" है तथा ""Q"" का अर्थ ""भाग"" है, तो निम्नलिखित में से कौन सा समीकरण सही है? ",15.1
9, d,312,324,210,102," यदि 4 * 7 * 2 = 361 तथा 5 * 9 * 1 = 480 हो, तो 2 * 1 * 3 = ? ",15.1
10,c ,17,21,23,26," यदि ""–"" का अर्थ ""भाग"" है, ""+"" का अर्थ ""गुणा"" है, ""÷"" का अर्थ ""जोड़"" है, ""x"" का अर्थ ""घटाव"" है, तो 11 ÷ 6 – 2 + 5 x 3 = ? ",15.1
11, b,14,68,86,90," यदि 3 # 6 * 9 = 45 तथा 9 # 8 * 7 = 105 हैं, तो 5 * 6 # 3 = ? का मान क्या है? ",15.1
12,a ,"  –, =, x तथा +"," +, =, x तथा –"," =, x, + तथा –"," –, +, = तथा x"," निम्नलिखित प्रश्न में, दिए गए विकल्पों में से किन गणितीय संक्रियाओं का प्रयोग करने से दिया गया समीकरण सही हो जाएगा? 30 ? 6 ? 4 ? 5 ? 4 ",15.1
13,b,121,113,148,115," यदि 13 # 9 = 94 तथा 18 # 7 = 100 हो, तो 24 # 6 = ? ",15.1
14, d , –117/11, 117/11, –237/12, –239/12," यदि ""–"" का अर्थ ""जोड़"" है, ""+"" का अर्थ ""भाग"" है, ""÷"" का अर्थ ""गुणा"" है, ""x"" का अर्थ ""घटाव"" है, तो 13 + 12 x 9 ÷ 3 – 6 = ? ",15.1
15, c,5,8,12,17," यदि 6 @ 4 @ 7 = 101 तथा 2 @ 5 @ 11 = 150 हैं, तो A @ 8 @ 9 = 289 में, A का मान क्या है? ",15.1
16, c," x, ÷ तथा >"," ÷, x तथा <"," ÷, x तथा ="," +, x तथा =", निम्नलिखित प्रश्न में दिए गए विकल्पों में से किन प्रतीक चिन्हों का प्रयोग करने से दिया गया समीकरण सही हो जाएगा? 15 _ 3 _ 4 _ 20 ,15.1
17, d,231,441,641,840," यदि 19 $ 7 = 312 तथा 23 $ 9 = 448 है, तो 31 $ 11 = ? ",15.1
18,c , x तथा –, ÷ तथा x, + तथा –, – तथा ÷, निम्नलिखित प्रश्न में किन्ही दो चिन्हों को परस्पर बदलकर दिये गए समीकरण को सही कीजिए। 4 – 10 x 5 + 9 ÷ 3 = 51 ,15.1
19,c,50,56,64,72," यदि 12 (20) 16 तथा 21 (35) 28 है, तो 48 (80) A में A का मान क्या है? ",15.1
20,c ,16,72,8,140," यदि ""K"" का अर्थ ""गुणा"" है, ""M"" का अर्थ ""घटाव"" है, ""J"" का अर्थ ""जोड़"" है तथा ""L"" का अर्थ ""भाग"" है, तो 44 M 24 K 56 L 14 J 60 = ? ",15.1
21, a,16,13,14,11," यदि 27 (15) 33 तथा 41 (13) 53 हो, तो 26 (A) 35 में, 'A' का मान क्या है? ",15.1
22,c ,16,72,8,140," यदि ""K"" का अर्थ ""गुणा"" है, ""M"" का अर्थ ""घटाव"" है, ""J"" का अर्थ ""जोड़"" है तथा ""L"" का अर्थ ""भाग"" है, तो 44 M 24 K 56 L 14 J 60 = ? ",15.1
23, a ,16,13,14,11," यदि 27 (15) 33 तथा 41 (13) 53 हो, तो 26 (A) 35 में, 'A' का मान क्या है? ",15.1
24,a , – तथा +, x तथा –, ÷ तथा x, x तथा +,"निम्नलिखित प्रश्न में, किन्ही दो गणितीय संक्रियाओं को आपस में परस्पर बदलकर दिए गए समीकरण को सही कीजिए। 4 x 3 – 6 ÷ 2 + 7 = 8 ",15.1
25,b,4,3,5,6," यदि 3 # 4 % 8 = 6 तथा 9 % 4 # 3 = 12 हो, तो 12 % 6 # 24 = ? ",15.1
26,d , ÷ तथा =, ÷ तथा +, ÷ तथा –, + तथा –, निम्नलिखित प्रश्न में किन्ही दो चिन्हों को परस्पर बदलकर दिये गए समीकरण को सही कीजिए। 6 + 8 ÷ 4 – 4 = 8 ,15.1
