,cat_num,cat_name,Question,optA,optB,optC,optD,correct,Direction
0,1.4,Idioms & Phrases,A red letter day,A day to write with red pens,A day marked in red,A day to write letters,An important day,D,Select the alternative which best expresses the meaning of the idiom/phrase.
1,1.4,Idioms & Phrases,Up to the mark,Up to the potential displayed,According to the required standard,As good as the others,Marked properly and accurately,B,Select the alternative which best expresses the meaning of the idiom/phrase.
2,1.4,Idioms & Phrases,Moonshine,Familiar,Acceptable,Concocted,Excellent,C,Select the alternative which best expresses the meaning of the idiom/phrase.
3,1.4,Idioms & Phrases,Showed a clean pair of heels,Ran away,Displayed clean heels,Kneeled down,Showed courage,A,Select the alternative which best expresses the meaning of the idiom/phrase.
4,1.4,Idioms & Phrases,Tooth and nail,With all their might,Without any weapon,In a cowardly manner,With all their rights,A,Select the alternative which best expresses the meaning of the idiom/phrase.
5,1.4,Idioms & Phrases,Piece of his mind,Suggestion,Advice,Gist,Scolding,D,Select the alternative which best expresses the meaning of the idiom/phrase.
6,1.4,Idioms & Phrases,Beside the mark,Irrelevant,Criticized,Valid,Excellent,A,Select the alternative which best expresses the meaning of the idiom/phrase.
7,1.4,Idioms & Phrases,In black and white,In writing,Orally,In discourse,In detail,A,Select the alternative which best expresses the meaning of the idiom/phrase.
8,1.4,Idioms & Phrases,A hard nut to crack,Generous,Difficult,Careless,Kind,B,Select the alternative which best expresses the meaning of the idiom/phrase.
9,1.4,Idioms & Phrases,Gave away,Let go,Released,Gave back,Distributed,D,Select the alternative which best expresses the meaning of the idiom/phrase.
10,1.4,Idioms & Phrases,Bore down upon,Moved quickly backwards,Moved quickly to the left,Moved quickly to the right,Moved quickly towards,D,Select the alternative which best expresses the meaning of the idiom/phrase.
11,1.4,Idioms & Phrases,Put a spoke in my wheel,Tried to cause an accident,Helped in the execution of the plan,Thwarted in the execution of the plan,Destroyed the plan,C,Select the alternative which best expresses the meaning of the idiom/phrase.
12,1.4,Idioms & Phrases,At a stretch,Continuously,Occasionally,Maximum,Minimum,A,Select the alternative which best expresses the meaning of the idiom/phrase.
13,1.4,Idioms & Phrases,Knows how many beans make five,Knows mathematical calculations,Is fiercely loyal,Well informed and intelligent,Is accurate and precise,C,Select the alternative which best expresses the meaning of the idiom/phrase.
14,1.4,Idioms & Phrases,To get into hot waters,To be impatient,To suffer loss,To get into trouble,To be in a confused state of mind,C,Select the alternative which best expresses the meaning of the idiom/phrase.
