,Answer,OptionA,OptionB,OptionC,OptionD,Questions,category
0, a,41352,41253,43125,41325, Arrange the given words in the sequence in which they occur in the dictionary. 1. Counter 2. Crop 3. Create 4. Carnation 5. Creator ,13.1
1, c,51324,13452,51342,15342, Arrange the given words in the sequence in which they occur in the dictionary. 1. Waste 2. Wrong 3. Witty 4. Worcester 5. Warlike ,13.1
2, a,34125,34521,43251,51342, Arrange the given words in the sequence in which they occur in the dictionary. 1. Xenons 2. Xylyls 3. Xanthic 4. Xenians 5. Xyst ,13.1
3, a,12453,12534,21345,45213, निम्नलिखित शब्दों को शब्दकोश में आने वाले क्रम के अनुसार लिखें। 1. Cadartrally 2. Caddisflies 3. Caducities 4. Caddisworms 5. Cadetships ,13.1
4, a,43152,43251,53421,54312,  निम्नलिखित शब्दों को शब्दकोश में आने वाले क्रम के अनुसार लिखें। 1. Exacts 2. Exotic 3. Exactly 4. Exacerbate 5. Exhaust ,13.1
5, b," 4,5,2,3,1"," 5,4,3,2,1"," 5,3,4,1,2"," 4,1,2,3,5", निम्नलिखित शब्दों को शब्दकोश में दिए गए क्रम के अनुसार लिखिए ? 1. Syringe 2. Syphilis 3. Syncretism 4. Synarchy 5. Submerge ,13.1
6, d," 1, 2, 4, 5, 3"," 2, 4, 5, 1, 3"," 3, 1, 2, 5, 4"," 1, 2, 3, 5, 4",निम्नलिखित शब्दों को शब्दकोश में दिए गए क्रम के अनुसार लिखिए ? 1. Scarf 2.Scene 3.Shell 4.Survey 5.Stream ,13.1
7, d," a, c, e, b, d "," b, e, a, d, c"," b, c, e, a, d"," e, c, b, a, d",निम्नलिखित शब्दों को शब्दकोश में दिए गए क्रम के अनुसार लिखिए ?  a. Guarantee b. Group c. Grotesque d. Guard e. Groan ,13.1
8, d, KNOW, KNACK, KNIT, KNOB,दिए गए शब्दों को अंग्रेजी शब्दकोश के अनुसार क्रम से रखने पर कौन सा शब्द तीसरे स्थान पर होगा ? ,13.1
9, b," 5,4,1,2,3"," 4,5,3,1,2"," 4,3,5,1,2"," 3,4,5,2,1",निम्नलिखित शब्दों को शब्दकोश में दिए गए क्रम के अनुसार लिखिए ? 1. Fraudulent 2. Fraught 3. Fraternity 4. Franchise 5. Frantic ,13.1
10, b," 5,2,3,1,4"," 5,2,1,3,4"," 5,2,4,1,3"," 5,2,4,3,1",निम्नलिखित शब्दों को शब्दकोश में दिए गए क्रम के अनुसार व्यवस्थित कीजिये 1.Patriot 2.Pastor 3 Patron 4. Pattern 5. Pastern ,13.1
11, d, Qualify, Quarter, Quarrel, Quaver,निम्नलिखित शब्दों को शब्दकोश में दिए गए क्रम के अनुसार लिखिए ? 1. Qualify 2.Quarter 3.Quarrel 4.Quaver ,13.1
12, c," 1, 5, 3, 4, 2"," 1, 5, 4, 2, 3"," 1, 4, 5, 3, 2"," 1, 4, 5, 2, 3",निम्नलिखित शब्दों को शब्दकोश में दिए गए क्रम के अनुसार लिखिए। 1. Organ 2. Origin 3. Orient 4. Organic 5. Organise ,13.1
13, d, Temple, Tenant, Terminate, Temperature,निम्नलिखित शब्दों को शब्दकोश में दिए गए क्रम के अनुसार लिखिए। 1. Temple 2 Tenant 3. Terminate 4. Temperature ,13.1
14, b," 3, 1, 4, 2"," 3, 4, 1, 2"," 1, 3, 2, 4"," 1, 2, 3, 4",निम्नलिखित शब्दों को शब्दकोश में दिए गए क्रम में लिखिए। 1) Pearl 2) Peasant 3) Pea 4) Peanut ,13.1
15, a," 4, 2, 1, 3"," 3, 4, 2, 1"," 4, 3, 1, 2"," 2, 4, 3, 1",निम्‍नलिखित शब्दों को शब्दकोश में दिए गए क्रम के अनुसार लिखिए। 1. Follicle 2.Folk 3.Follow 4.Foliage ,13.1
