,correct,QuestionLink,category,optA,optB,optC,optD,sectionType,usedFor,lang,source,Direction
1,b,https://i.imgur.com/ibbTEBs.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
2,a,https://i.imgur.com/ju0bGm3.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
3,a,https://i.imgur.com/8cRsfuP.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
5,d,https://i.imgur.com/BrQ6ktu.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
6,b,https://i.imgur.com/cz9qV7P.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
7,c,https://i.imgur.com/hSUfiKD.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
9,b,https://i.imgur.com/nJCXe4B.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
10,a,https://i.imgur.com/dwlkkP3.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
11,a,https://i.imgur.com/uWxRot3.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
13,c,https://i.imgur.com/L0fcsFA.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
14,b,https://i.imgur.com/w5JOrtJ.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
15,c,https://i.imgur.com/lYyqKhG.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
16,b,https://i.imgur.com/GWuoFZb.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
18,d,https://i.imgur.com/pyD41UX.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
19,c,https://i.imgur.com/J5OiQgM.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
20,b,https://i.imgur.com/zox9WDA.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
21,a,https://i.imgur.com/PnhQYBf.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
