,Answer,OptionA,OptionB,OptionC,OptionD,Questions,Category
0,b, चचेरी बहन, भतीजी, चाची, भतीजा,"  A , D का भाई है, D, B का पिता है, B और C बहने हैं। C का A से संबंध बताइए ? ",19.1
1,a, बहन, पुत्री, पोती, चचेरी बहन," एक फोटो की ओर इशारा करते हुए राकेश ने कहा, यह मेंरे दादा की एकमात्र पुत्र की पुत्री है । लडकी का राकेश से संबंध बताइए? ",19.1
2,a, चचेरा भाई, भाई, बेटा, भतीजा," एक पुरुष ने एक महिला से कहा, '' तुम्हारी माता के पति की बहन मेरी माता है।“ उस पुरुष का उस महिला से क्या संबंध है ? ",19.1
3,d, A, C, K, F," F, A का भाई है। C, A की पुत्री है। K, F की बहन है। G, C का भाई है। G का चाचा कौन है ? ",19.1
4,c, बहन, पुत्री, भतीजी, चचेरी बहन," A, B की बहन है। B की शादी D से हुई है। B और D की पुत्री 'G' है। G का A से क्या सम्बन्ध है ? ",19.1
5,a, बहनोई, भाई, चाचा, भानजा/भतीजा," एक महिला एक आदमी की ओर इशारा करते हुए कहती है कि ""वह मेरे चाचा के भाई की बेटी का विधुर है। वह आदमी उस औरत से किस प्रकार सम्‍बन्धित है ? ",19.1
6,d, पुत्र, भाई, पति, पिता,"  एक महिला का परिचय देते हुए पुरुष ने कहा, "" कि उसकी माता मेरी सास की एक मात्र पुत्री है।"" पुरुष का महिला के साथ क्या संबंध है ? ",19.1
7,b, माता, पत्नी, बहन, भाई,"  X और Y भाई हैं। R , Y का पिता है, T, S की बहन है। S, X का मामा है। T का R से क्या संबंध है ? ",19.1
8,d, माता, दादी, बहन, चाची/बुआ,"  P और Q बहनें हैं। R और S भाई हैं। P, की लड़की R की बहन है। तो फिर Q का S से क्या सम्बन्ध है ? ",19.1
9,b, चचेरा/फुफेरा/ममेरा/मौसेरा भाई, भाई, चाचा, जीजा/देवर/जेठ/नन्‍दोई," एक लड़के की ओर इशारा करते हुए मीरा ने कहा,""यह मेरे दादा के इकलोते पुत्र का पुत्र है।"" उस लड़के का मीरा से क्‍या सम्‍बन्‍ध है ? ",19.1
10,a, भाभी, सास, बहन, माता," P तथा Q भाई हैं। P, S का पिता है। R, Q का एकमात्र पुत्र है तथा वह U से विवाहित है। U, S से किस प्रकार संबंधित है? ",19.1
11,d, हितेश, सन्नी, विक्की, नितिन," हितेश, सन्नी, विक्की, नितिन तथा भरत को उनकी ऊँचाई के अनुसार ऊपर से बढ़ते क्रम में  व्यवस्थित किया जाता है। हितेश तीसरे स्थान पर है। भरत, नितिन तथा हितेश के मध्य है जबकि नितिन सबसे नीचे नहीं है। उनमें से सबसे ऊँचा कौन है? ",19.1
12,d, पुत्री, पोती, भतीजी, चचेरी/ममेरी बहन," पुनीत एक स्त्री से कहता है कि, ""तुम्हारे पिताजी की पत्नी की बहन मेरी बुआ है।"" वह स्त्री, पुनीत से किस प्रकार संबंधित है? ",19.1
13,b, उत्तर-पूर्व, उत्तर-पश्चिम, दक्षिण-पूर्व, दक्षिण-पश्चिम," पुनीत बिन्दु R से पश्चिम दिशा में 10 कि.मी. सीधा चला, फिर वह दायें मुड़कर 12 कि.मी. चला तथा पुनः दायें मुड़कर 7 कि.मी. सीधा चला। वह बिन्दु R से किस दिशा में है? ",19.1
14,d, दादा, पिता, ममेरा भाई, मामा,"पूर्व 2) उत्तर-पश्चिम 3) दक्षिण-पूर्व 4) दक्षिण-पश्चिम Correct Answer: B QID : 110 - पूनम, अक्षय से कहती है कि, ""कल उसने अक्षय की इकलौती बहन की पुत्री स्नेहा को विद्यालय स्तर के ताइकोंडों प्रतियोगिता में हराया था।""  अक्षय, स्नेहा से किस प्रकार संबंधित है? ",19.1
15,b, बुआ, बहन, माता, पत्नी," एक व्यक्ति की और संकेत करते हुए रीतिका ने कहा, ''वह मेरे दादाजी के एकमात्र पुत्र का पुत्र है।'' रीतिका उस व्यक्ति से किस प्रकार संबंधित है? ",19.1
,c, पुत्री,बहन, माता, पत्नि,"एक व्यक्ति की ओर इशारा करते हुए, मोहन एक औरत से कहता है कि ""उसकी माँ तुम्हारे पिता की एकमात्र पुत्री है"". वह औरत उस व्यक्ति से किस प्रकार सम्बंधित है?",19.1
,a,बुआ,पौत्री,बहन,पुत्री,"एक औरत की और इशारा करते हुए राम कहता है कि, ""वह मेरी माता के पति की माता की पुत्री है""|उस औरत का राम से क्या सम्बन्ध है ?",19.1
,d,पिता,चाचा,चचेरा भाई,इनमे से कोई नहीं,"एक तस्वीर में एक व्यक्ति की और इशारा करते हुए, अनु कहती है कि ""वह मेरी बहन के भाई के पिता का एकमात्र पुत्र है"", वह व्यक्ति अनु से किस प्रकार सम्बंधित है ?",19.1
,c, चचेरा भाई,चाचा,भाई,इनमे से कोई नहीं,"एक लड़के की तरफ इशारा करते हुए, रीना कहती है कि ""वह मेरे दादा के एकमात्र पुत्र का पुत्र है""|वह लड़का रीना से किस प्रकार सम्बंधित है?",19.1
,a,चाचा,भाई, दादा,पिता,"A और B भाई हैं, C और D बहनें हैं, A का पुत्र D का भाई है| B का C से कया सम्बन्ध है ?",19.1
,d, मौसी,दादी,सास,ससुर की बहन,एक औरत की ओर इशारा करते हुए राम कहता है कि “उसके एकमात्र भाई का बेटा मेरी पत्नी का भाई है” | उस औरत का राम के साथ क्या सम्बन्ध है?,19.1
,c,पुत्री,माता,बहन,बुआ,"एक आदमी ने औरत से कहा, “तुम्हारी माँ के पति की बहन मेरी बुआ है” उस औरत का आदमी के साथ क्या सम्बन्ध है?",19.1
,d, पिता, दादा,पति,ससुर,"एक आदमी कहता है, “यह लड़की मेरी माँ के पौत्र की पत्नी है” | उस आदमी का उस औरत के साथ क्या सम्बन्ध है?",19.1
,d,माँ,बुआ,बहन,भानजी,"एक आदमी का परिचय देते हुए एक औरत कहती है, “वह मेरी माँ की माँ का एकमात्र पुत्र है” | उस औरत का उस व्यक्ति से क्या सम्बन्ध है?",19.1
,c, माँ,बुआ,बहन,पुत्री,"अपने पति से एक व्यक्ति के बारे में बात करते हुए एक औरत कहती है, “उसके भाई का पिता मेरे दादा का एकमात्र पुत्र है” | उस औरत का उस व्यक्ति से क्या सम्बन्ध है?",19.1
,a, फुफेरा भाई, पुत्र,चाचा,भतीजा,एक लड़की एक लड़के की ओर इशारा करते हुए कहती है कि वह उसके चाचा के पिता की बेटी का पुत्र है | उस लड़के का उस लड़की से क्या सम्बन्ध है?,19.1
,b,दादा, मामा,पिता,भाई,यदि कमल कहता है कि “ रवि की माँ मेरी माँ की एकमात्र पुत्री है “ | तो कमल का रवि से क्या सम्बन्ध है?,19.1
,c,माता,चाची,बहन,पुत्री,एक फोटो में एक व्यक्ति की ओर इशारा करते हुए एक स्त्री कहती है कि “ इसके भाई का पिता मेरे दादा का एकलौता पुत्र है | वह स्त्री उस वव्यक्ति से किस प्रकार सम्बन्धित है?,19.1
,a,ममेरा भाई,पुत्र,चाचा,भाई,अनिल रोहित के बारे में बताते हुए कहता है कि “ वह उसके पिता की पत्नी के इकलोते भाई का पुत्र है ” | रोहित का अनिल से क्या सम्बन्ध है?,19.1
,b,पिता,भाई,कजिन,चाचा,एक फ़ोटो में एक लड़की कि ओर इशारा करते हुए रोहित कहता है कि “ वह मेरे दादा के इकलोते पुत्र की पुत्री है “ | रोहित का उस लड़की से क्या सम्बन्ध है?,19.1
,c,कजिन,बहन,माता,सास,एक व्यकित एक फोटो की ओर इशारा करते हुए कहता है कि “ ये फोटो में जो महिला है | वह मेरे भाँजे की नानी है | उस महिला का उस व्यक्ति की इकलौती बहन से क्या सम्बन्ध है?,19.1
,a,नातिन,पुत्र,दामाद,भतीजा,एक फोटो की ओर इशारा करते हुए एक महिला कहती है कि “ इस व्यक्ति के पुत्र की बहन मेरी सास है | “ उस महिला के पति का उस व्यक्ति से क्या सम्बन्ध है?,19.1
,b, भाभी,पत्नी,चाची, माता,एक फोटो की ओर इशारा करते हुए एक महिला प्रमोद से कहती है कि “मैं इस महिला की इकलौती पुत्री हूँ तथा उसका पुत्र तुम्हारा मामा है” | उस महिला का प्रमोद के पिता से क्या सम्बन्ध है?,19.1
,d,भाई,दादा,  पति,ससुर,अमित कहता है कि “यह लड़की मेरी माँ के पौत्र की पत्नी है” | अमित का उस लड़की से क्या सम्बन्ध है?,19.1
,c,भतीजा,चाचा,पिता या चाचा,पिता,राम की ओर इशारा करते हुए श्याम कहता है कि “मै इसके पिता के पुत्रीं में से किसी एक पुत्र का इकलौता पुत्र हूँ |,19.1
,d,1,2,3,4,"एक परिवार एक सभी ६ सदस्य  A, B, C, D, E तथा F एक साथ सफर कर रहे हैं | B, C का पुत्र है लेकिन  C, B की माता नहीं है | A तथा C पति - पत्नी हैं  | E, C का भाई है | D, A की पुत्री है | F, B का भाई है |                 परिवार में कितने सदस्य हैं ? ",19.1
,d,D,F,E,A,"एक परिवार एक सभी ६ सदस्य  A, B, C, D, E तथा F एक साथ सफर कर रहे हैं | B, C का पुत्र है लेकिन  C, B की माता नहीं है | A तथा C पति - पत्नी हैं  | E, C का भाई है | D, A की पुत्री है | F, B का भाई है |                B की मााँ कौन है?",19.1
,c,1,2,3,4,"एक परिवार एक सभी ६ सदस्य  A, B, C, D, E तथा F एक साथ सफर कर रहे हैं | B, C का पुत्र है लेकिन  C, B की माता नहीं है | A तथा C पति - पत्नी हैं  | E, C का भाई है | D, A की पुत्री है | F, B का भाई है |----               Aके कितने बच्चे हैं ",19.1
,d,AE,BD,DF,AD,"एक परिवार एक सभी ६ सदस्य  A, B, C, D, E तथा F एक साथ सफर कर रहे हैं | B, C का पुत्र है लेकिन  C, B की माता नहीं है | A तथा C पति - पत्नी हैं  | E, C का भाई है | D, A की पुत्री है | F, B का भाई है |          निम्नलिखित में से महिलाओं की जोड़ी कौन सी है ",19.1
,c,पिता, भाई,चाचा, पुत्र,"एक परिवार एक सभी ६ सदस्य  A, B, C, D, E तथा F एक साथ सफर कर रहे हैं | B, C का पुत्र है लेकिन  C, B की माता नहीं है | A तथा C पति - पत्नी हैं  | E, C का भाई है | D, A की पुत्री है | F, B का भाई है |-                 E का D से क्या सम्बन्ध है?",19.1
,c,दादी,नानी, दादा,नाना,"दी गयी जानकारी को ध्यानपूर्वक पढिये तथा दिये गये प्रश्नों के उत्तर दीजिये |        (i) ‘A $ B’ का मतलब है कि ‘A, B की माता है |’             (ii) ‘A # B’ का मतलब है कि ‘A, B का पिता है |’             (iii) ‘A @ B’ का मतलब है कि ‘A, B का पति है |’                 (iv) ‘A % B’ का मतलब है कि ‘A, B की पुत्री है |                     P @ Q $ M # T में P का T से क्या सम्बन्ध है?",19.1
,b, H $ D @ F # R,R % D @ F $ H,R $ D @ F # H,H % D @ F $ R,"दी गयी जानकारी को ध्यानपूर्वक पढिये तथा दिये गये प्रश्नों के उत्तर दीजिये |        (i) ‘A $ B’ का मतलब है कि ‘A, B की माता है |’             (ii) ‘A # B’ का मतलब है कि ‘A, B का पिता है |’             (iii) ‘A @ B’ का मतलब है कि ‘A, B का पति है |’                 (iv) ‘A % B’ का मतलब है कि ‘A, B की पुत्री है |     निम्न में से कौन सा सम्बन्ध दर्शाता है कि R, H की बहन है?",19.1
,a,साला,बहन,साली,इनमें से कोई नहीं,"दी गयी जानकारी को ध्यानपूर्वक पढिये तथा दिये गये प्रश्नों के उत्तर दीजिये |        (i) ‘A $ B’ का मतलब है कि ‘A, B की माता है |’             (ii) ‘A # B’ का मतलब है कि ‘A, B का पिता है |’             (iii) ‘A @ B’ का मतलब है कि ‘A, B का पति है |’                 (iv) ‘A % B’ का मतलब है कि ‘A, B की पुत्री है |     सम्बन्ध F @ D % K # H में F का H से क्या है?",19.1
,b,H # R $ D $ N,N % F @ D $ H # R,N % F @ D $ H,N % F @ D % H,"दी गयी जानकारी को ध्यानपूर्वक पढिये तथा दिये गये प्रश्नों के उत्तर दीजिये |        (i) ‘A $ B’ का मतलब है कि ‘A, B की माता है |’             (ii) ‘A # B’ का मतलब है कि ‘A, B का पिता है |’             (iii) ‘A @ B’ का मतलब है कि ‘A, B का पति है |’                 (iv) ‘A % B’ का मतलब है कि ‘A, B की पुत्री है |    निम्न में से कौन सा सम्बन्ध दर्शाता है कि H, N का भाई है?",19.1
,a,पुत्रवधु,सास,पुत्री, बुआ,"दी गयी जानकारी को ध्यानपूर्वक पढिये तथा दिये गये प्रश्नों के उत्तर दीजिये |        (i) ‘A $ B’ का मतलब है कि ‘A, B की माता है |’             (ii) ‘A # B’ का मतलब है कि ‘A, B का पिता है |’             (iii) ‘A @ B’ का मतलब है कि ‘A, B का पति है |’                 (iv) ‘A % B’ का मतलब है कि ‘A, B की पुत्री है |    सम्बन्ध G $ M @ K में K का G से क्या सम्बन्ध है?",19.1
