Question,optionA,optionB,optionC,optionD,Correct,Category
"किसी परीक्षा में बैठने के लिए सुधीर स्कूल के लिए 5 कि.मी. दक्षिण की ओर चला, फिर तेजी से बायें मुड़ कर 10 कि.मी. चला। फिर तेजी से बायें मुड़ कर स्कूल के सामने पहुँच गया जिस बिन्दुसे सुधीर ने चलना शुरु किया था वह स्कूल से किस दिशा में है ?",पूर्व,पश्चिम,उत्तर,दक्षिण,b,9.1
"रमा 10 कि.मी. दक्षिण दिशा की ओर चली और फिर दाहिने मुड़ कर 5 कि.मी. चली। वह फिर दाहिने मुड़कर 10 कि.मी. चली, फिर बायें मुड़ी और 10 कि.मी. चली । जिस बिन्दु से उसने चलना आरंभ किया था, उस तक पहंचने के लिए रमा को कितने किलोमीटर चलना पडेगा ?",25 कि.मी.,20 कि.मी.,5 कि.मी.,15 कि.मी.,d,9.1
"एक लड़की दक्षिण की ओर 30 मीटर चलती है, फिर वह दाहिनी ओर मुड़कर 30 मीटर चलती है। फिर बायीं ओर मुड़कर 20 मीटर चलती है। फिर से दोबारा बायीं ओर मुड़कर 30 मीटर चलतीहै। अब वह अपने प्रारम्भिक स्थान से कितनी दूर है ?",20 मीटर,30 मीटर,50 मीटर,60 मीटर,d,9.1
अशोक 8 कि.मी. दक्षिण की ओर चला और पश्चिम की ओर मुड़कर 3 कि.मी. चला। फिर वह उत्तर की ओर मुड़ा और 5 कि.मी. चला। अन्त में वह पूर्व दिशा की ओर मुड़ा और 3 कि.मी. चला। अशोक प्रारम्भिक स्थान से किस दिशा में था ?,पूर्व,उत्तर,पश्चिम,दक्षिण,d,9.1
".रमेश 2 किलोमीटर उत्तर की ओर चला, फिर वह दाहिने घूमकर 1 किलोमीटर चला फिर वह दाहिने घूमा और 2 किलोमीटर चला। अब उसका चेहरा किस दिशा में है ",पूर्व,पश्चिम,दक्षिण,उत्तर,c,9.1
एक आदमी 7 कि.मी. दक्षिण की ओर जाता है और बाएँ मुड़ जाता है। 5 कि.मी. चलने के बाद वह दाएँ मुड़ता है और 7 कि.मी. चलता है। अब वह प्रारम्भिक बिन्‍दु से किस दिशा में है?,पश्चिम,दक्षिण,दक्षिण-पूर्व,उत्तर-पूर्व,c,9.1
.किसी स्‍थान से चलना शुरू कर एक आदमी 3 कि.मी. पूर्व की ओर जाता है और बाएँ मुड़कर 4 कि.मी. जाता है। फिर वह बाएँ 45° मुड़कर सीधे चलता है। अब उसका मुँह किस दिशा की ओर है ?,उत्तर-पूर्व,उत्तर- पश्चिम,दक्षिण- पश्चिम,दक्षिण- पश्चिम,b,9.1
रजनीश ने उत्तर की ओर चलना शुरु किया। वह 20 मीटर चलने के बाद बांए मुड़ गया। 30 मीटर चलने के बाद वह फिर से दांई ओर मुड़ गया। इस समय उसका चेहरा किस दिशा में है ?,उत्तर,पूर्व,पश्चिम,दक्षिण,a,9.1
राम पूर्व की ओर 3 कि.मी. चलता है और बाएं मुड़कर 1 कि.मी. चलता है। फिर बाएं मुड़ कर वह 2 कि.मी. और चलता है। फिर एक बार और बाएं मुड़कर 1 कि.मी. चलता है। वह प्रारम्भ स्थल से कितने कि.मी. दूर है ?,1 कि.मी.,2 कि.मी.,3 कि.मी.,4 कि.मी.,a,9.1
एक आदमी 9 कि.मी.पूर्व की ओर उसके बाद 12 कि.मी. दक्षिण की ओर जाता है। उसके प्रारम्भ और अन्तिम बिन्दु के बीच की दूरी ज्ञात कीजिए ?,8 कि.मी.,6 कि.मी.,15 कि.मी.,7.5 कि.मी.,c,9.1
