,QuestionLink,optionA,optionB,optionC,optionD,optionE,correct,Category
0,https://i.imgur.com/3mE3LwG.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,b,18.1
1,https://i.imgur.com/3WmIAjh.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,e,18.1
2,https://i.imgur.com/w1OIZr9.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,b,18.1
3,https://i.imgur.com/iG3sR8f.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,c,18.1
4,https://i.imgur.com/7E6DSIK.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,d,18.1
5,https://i.imgur.com/lAH8RMf.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,d,18.1
6,https://i.imgur.com/BJp2gD8.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,e,18.1
7,https://i.imgur.com/0F3AbUW.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,a,18.1
8,https://i.imgur.com/97YG9kO.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,d,18.1
9,https://i.imgur.com/YCQKvK6.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,d,18.1
10,https://i.imgur.com/bkUjmUS.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,b,18.1
11,https://i.imgur.com/Ar7yaks.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,a,18.1
12,https://i.imgur.com/N7psub2.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,d,18.1
13,https://i.imgur.com/7bocvWL.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,c,18.1
14,https://i.imgur.com/5eW3e22.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,c,18.1
15,https://i.imgur.com/agcnlw1.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,b,18.1
16,https://i.imgur.com/7FPqumT.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,e,18.1
