,Category,Correct,Explanation,OptionA,OptionB,OptionC,OptionD,Questions
0,14.1, : B,, मंगलवार सुबह 10 बजकर 40 मिनट पर, मंगलवार शाम 10 बजकर 40 मिनट पर , सोमवार 10 बजे , मंगलवार 10 बजे,  रविवार दोपहर 12 बजे मेरी घड़ी 5 मिनट आगे थी तथा हमीद की बड़ी 6 मिनट मन्द थी। बुधवार शाम को 8 बजे पता चला कि मेरी घड़ी 1 मिनट मन्द तथा हमीद की घड़ी 3 मिनट तेज हो गई। बताइए मेरी तथा हमीद की घड़ियों ने कब समान समय बताया होगा? (समय की गणना सही समय के सापेक्ष करनी है? ) 
1,14.1, : A,, 2 बजकर 46 मिनट, 2 बजकर 30 मिनट , 3 बजकर 10 मिनट, 4 बजकर 5 मिनट," एक घड़ी प्रति 24 घण्टे में 60 मिनट तेज हो जाती है। उसे 10 बजे मिलाया गया। दूसरे दिन सही समय क्या होगा, जब घड़ी शाम के 4 बजे प्रदर्शित करेगी?  "
2,14.1, : A,, 10 बजे, 10 : 15 बजे , 9 : 40 बजे, 11 : 50 बजे,  दिल्ली रेलवे स्टेशन से गाजियाबाद के लिए प्रत्येक 55 मिनट पर रेल चलती है। पूछताछ की खिड़की से अशोक को पता चला कि रेल 20 मिनट पहले जा चुकी है एवं अगली रेल 10 बजकर 35 मिनट पर जाएगी। अशोक पूछताछ की खिड़की से कितने बजे रेल का पता कर रहा था?  
3,14.1, : C,, अपराह्न 6 : 15 , अपराह्न 6 : 18, अपराह्न 6 : 36, अपराह्न 6 : 48,"  अपराह्न 6 बजे से 7 बजे के बीच किस समय, किसी घड़ी की मिनट की सुई घण्टे की सुई से 3 मिनट आगे होगी? [CSAT 2015] "
4,14.1, : C,,14,13,15,12, 5. एक कछुआ 4 घण्टे में 1 किमी चलता है। प्रत्येक किमी के बाद 20 मिनट विश्राम करता है। यह बताइए कि 3.5 किमी की दूरी तय करने में उसे कितना समय (घण्टों में) लगेगा? [Delhi Police (Constable) 2009] 
5,14.1, : C,, 10 : 05 पूर्वाह्न , 10 : 55 पूर्वाह्न , 10 : 25 पूर्वाह्न, 10 : 35 पूर्वाह्न,  एक बस स्टैण्ड से प्रत्येक 40 मिनट पर पटना के लिए एक बस रवाना होती है। एक इनक्वायरी क्लर्क ने एक यात्री को कहा कि 20 मिनट पहले बस चली गई और अगली बस 10 : 45 पूर्वाह्न पर पटना के लिए रवाना होगी। बताइए कि इनक्वायरी क्लर्क ने यात्री को यह जानकारी कितने बजे दी थी? [SSC (Multitasking) 2006] 
6,14.1, : A,, 8 : 20 , 8 : 10 , 8 : 05, 8 : 00,  8 : 50 बजे से 20 मिनट पहले बैठक स्थल पर पहुँचते हुए सतीश को यह मालूम हुआ कि वह 40 मिनट देर से आने वाले व्यक्ति से 30 मिनट पहले आ गया है। यह बताइए कि बैठक का निर्धारित समय क्या था? [SSC (Multitasking) 2006] 
7,14.1, : C,, प्रात: 10 : 25 , प्रात: 09 : 55 , प्रात: 10 : 15, प्रात: 10 : 35,  एक स्टैण्ड से चेन्नई के लिए प्रति 40 मिनट पर एक बस छूटती है। एक पूछताछ क्लर्क एक आदमी से कहता है कि बस 10 मिनट पहले ही छूटी है और अगली बस प्रात: 10 : 45 छूटेगी। उस व्यक्ति को यह जानकारी कितने बजे दी गई? [FCI (Assistant) 2015]  
8,14.1, : D,, 30° , 60° , 7 1°/2, 67 1°/2,  5 : 15 बजे घड़ी की सुइयाँ आपस में कितने अंश का कोण बनाती हैं? [SSC (10+2) 2011] 
9,14.1, : C,,9,10,16,20,  अपराह्न 1 बजे से रात्रि 10 बजे तक चलते हुए एक घड़ी की घण्टे की सुई तथा मिनट की सुई कितनी बार समकोणों पर स्थित होंगी? [UPPSC (Pre) 2009] 
