,Correct,OptionA,OptionB,OptionC,OptionD,Questions,Category
0,: B, V, X, U, T, कौनसा अक्षर अंग्रेजी वर्णमाला के दूसरे अर्द्धांश के तीसरे अक्षर के दायें को 8वाँ होगा ?  ,2.9
1,: B, V, L, U, M," अगर अंग्रेजी वर्णमाला के क्रम को पलट दिया जाऐ, तो नयी बनी व्‍यवस्‍था में कौनसा अक्षर दायें से दूसरे स्‍वर के बायें को 7 अक्षर होगा ?  ",2.9
2,: D, E, C, D, U," अगर निम्‍नलिखित व्‍यवस्‍थ्‍ाा में से सभी A हटा दिए जाए, तो निम्‍नलिखित व्‍यवस्‍था में कौनसा अक्षर अन्तिम बाऐं के 11वां होगा –  C U B A E D E D A B E B A U C D B C A D B D U B C A C B E D A  ",2.9
3,: C, LBT,IJF,PID,SPA, नीचे दिए गऐ समूहों में चार में से तीन निम्‍न अक्षर व्‍यवस्‍था के अनुसार किसी निश्चित रूप से समान है। कौनसा एक समूह से सम्‍बन्‍ध नहीं रखता है ?  C L R T B Q S M A P D I N F J K G Y X  1. LBT 2. SPA 3.IJF 4. PID  ,2.9
4,: C, Donkey,Donative,Donator,Donjon," अगर निम्‍नलिखित शब्‍दों को अंग्रेजी शब्‍दकोष के अनुसार व्‍यवस्थित किया जाए, तो कौनसा अक्षर दूसरे स्‍थान पर आएगा ?  Donative, Donator, Donjon, Donkey  ",2.9
5,: B,  CAR और LAP दोनों,  LAP और BUT दोनों,  HID,  SON," अगर प्रथम एवं तृतीय अक्षर की स्थिति आपस में बदल दी जाए तो, निम्‍न में से नयी व्‍यवस्‍था में कौन अर्थपूर्ण शब्‍द बनेगा ?  LAP BUT CAR SON HID  ",2.9
6,: B,  I,  S,  T,  N," यदि शब्‍द ‘DISTURBANCE’ का प्रथमाक्षर, अन्तिम अक्षर से परस्‍पर बदल जाये, दूसरा अक्षर 10वें से बदल जाऐ और आगे भी ऐसा ही हो, तो नये बने प्रारूप में कौनसा T के बाद आएगा ?  ",2.9
7,: D,3,5,4,2," शब्‍द ‘HEARTLESS’ के अक्षरों में बिना फेरबदल किए, और प्रत्‍येक अक्षर का एक बार प्रयोग करते हुए कितने स्‍वतंत्र अर्थपूर्ण शब्‍द बनाये जा सकते है ?  ",2.9
8,: D,  @,9,3,  D," यदि निम्‍नलिखित व्‍यवस्‍था में से सभी स्‍वरों को छोड़ दिया जाऐ, तो कौनसा दी गई व्‍यवस्‍था में बायें से 12वाँ होगा ?  A E C B % 7 D $ E B 5 C ? 3 D E 9 @ 2 #  ",2.9
9,: D,  College,  Collotype,  Colon,  Collective, निम्‍नलिखित शब्‍दों को शब्‍दकोष के वर्णमाला क्रमानुसार व्‍यवस्थित करने पर कौनसा पहला शब्‍द होगा ?  ,2.9
10,: C,  CMN,  IJT,  VIJ,  UTI," इस श्रृंखला में आप अक्षरों का एक निश्चित स्‍वरूप देखते है, इस श्रृंखला के मध्‍य रिक्‍त स्‍थान की पूर्ति कीजिए –  SCD, TEF, UGH, ____, WKL  ",2.9
